1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
117, graveyard:ruins, HEADING, header:ignore, 0, 0, 0
118, graveyard:ruins, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
119, graveyard:ruins, MONSTER, graveyard:revenant, 45, 1, 3
120, graveyard:ruins, MONSTER, graveyard:ghoul, 50, 1, 2
121, tconstruct:end_slime_island, HEADING, header:ignore, 0, 0, 0
122, tconstruct:end_slime_island, MONSTER, tconstruct:ender_slime, 10, 4, 4
123, graveyard:small_savanna_grave, HEADING, header:ignore, 0, 0, 0
124, terralith:fortified_village, HEADING, header:ignore, 0, 0, 0
125, paraglider:underground_horned_statue, HEADING, header:ignore, 0, 0, 0
126, terralith:zpointer/terralith_amethyst_canyon, HEADING, header:ignore, 0, 0, 0
127, terralith:zpointer/terralith_cloud_forest, HEADING, header:ignore, 0, 0, 0
128, terralith:zpointer/terralith_highlands, HEADING, header:ignore, 0, 0, 0
129, explorify:end_shipwreck, HEADING, header:ignore, 0, 0, 0
130, terralith:zpointer/terralith_tropical_jungle, HEADING, header:ignore, 0, 0, 0
131, terralith:underground/sunken_tower, HEADING, header:ignore, 0, 0, 0
132, terralith:zpointer/terralith_rocky_shrubland, HEADING, header:ignore, 0, 0, 0
133, explorify:mausoleum, HEADING, header:ignore, 0, 0, 0
134, terralith:zpointer/terralith_skylands_winter, HEADING, header:ignore, 0, 0, 0
135, terralith:zpointer/terralith_snowy_maple_forest, HEADING, header:ignore, 0, 0, 0
136, eidolon:stray_tower, HEADING, header:ignore, 0, 0, 0
137, eidolon:stray_tower, MONSTER, minecraft:stray, 30, 1, 5
138, terralith:zpointer/terralith_snowy_badlands, HEADING, header:ignore, 0, 0, 0
139, terralith:zpointer/terralith_birch_taiga, HEADING, header:ignore, 0, 0, 0
140, incendium:forbidden_castle, HEADING, header:ignore, 0, 0, 0
141, terralith:zpointer/terralith_haze_mountain, HEADING, header:ignore, 0, 0, 0
142, terralith:zpointer/terralith_warm_river, HEADING, header:ignore, 0, 0, 0
143, terralith:zpointer/minecraft_badlands, HEADING, header:ignore, 0, 0, 0
144, terralith:zpointer/minecraft_windswept_hills, HEADING, header:ignore, 0, 0, 0
145, terralith:zpointer/terralith_lush_valley, HEADING, header:ignore, 0, 0, 0
146, graveyard:large_graveyard, HEADING, header:ignore, 0, 0, 0
147, graveyard:large_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
148, graveyard:large_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
149, graveyard:large_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
150, terralith:zpointer/minecraft_flower_forest, HEADING, header:ignore, 0, 0, 0
151, terralith:zpointer/terralith_bryce_canyon, HEADING, header:ignore, 0, 0, 0
152, terralith:zpointer/terralith_painted_mountains, HEADING, header:ignore, 0, 0, 0
153, graveyard:mushroom_grave, HEADING, header:ignore, 0, 0, 0
154, terralith:zpointer/terralith_mountain_steppe, HEADING, header:ignore, 0, 0, 0
155, tconstruct:sky_slime_island, HEADING, header:ignore, 0, 0, 0
156, tconstruct:sky_slime_island, MONSTER, tconstruct:sky_slime, 10, 3, 4
157, explorify:guide_post_cold, HEADING, header:ignore, 0, 0, 0
158, philipsruins:level_two_ruins_pool, HEADING, header:ignore, 0, 0, 0
159, philipsruins:level_one_ruins, HEADING, header:ignore, 0, 0, 0
160, philipsruins:level_one_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
161, philipsruins:level_one_ruins, MONSTER, minecraft:zombie, 12, 5, 12
162, terralith:zpointer/minecraft_grove, HEADING, header:ignore, 0, 0, 0
163, terralith:zpointer/minecraft_old_growth_spruce_taiga, HEADING, header:ignore, 0, 0, 0
164, philipsruins:start_nether_ruin, HEADING, header:ignore, 0, 0, 0
165, terralith:underground/frosted_dungeon, HEADING, header:ignore, 0, 0, 0
166, terralith:zpointer/terralith_stony_spires, HEADING, header:ignore, 0, 0, 0
167, graveyard:lich_prison, HEADING, header:ignore, 0, 0, 0
168, environmental:log_cabin, HEADING, header:ignore, 0, 0, 0
169, terralith:zpointer/minecraft_frozen_peaks, HEADING, header:ignore, 0, 0, 0
170, terralith:zpointer/terralith_forested_highlands, HEADING, header:ignore, 0, 0, 0
171, hunterillager:hunter_house, HEADING, header:ignore, 0, 0, 0
172, terralith:underground/mining_outpost, HEADING, header:ignore, 0, 0, 0
173, terralith:zpointer/minecraft_swamp, HEADING, header:ignore, 0, 0, 0
174, terralith:zpointer/terralith_shield_clearing, HEADING, header:ignore, 0, 0, 0
175, snowyspirit:gingerbread_house, HEADING, header:ignore, 0, 0, 0
176, snowyspirit:gingerbread_house, MONSTER, minecraft:witch, 10, 1, 1
177, snowyspirit:gingerbread_house, CREATURE, minecraft:pig, 10, 1, 1
178, terralith:spire, HEADING, header:ignore, 0, 0, 0
179, eidolon:catacomb, HEADING, header:ignore, 0, 0, 0
180, eidolon:catacomb, MONSTER, eidolon:giant_skeleton, 60, 1, 5
181, terralith:zpointer/terralith_basalt_cliffs, HEADING, header:ignore, 0, 0, 0
182, terralith:zpointer/terralith_caldera, HEADING, header:ignore, 0, 0, 0
183, terralith:zpointer/terralith_jungle_mountains, HEADING, header:ignore, 0, 0, 0
184, terralith:underground/giant_bee_hive, HEADING, header:ignore, 0, 0, 0
185, terralith:zpointer/minecraft_desert, HEADING, header:ignore, 0, 0, 0
186, incendium:quartz_kitchen, HEADING, header:ignore, 0, 0, 0
187, philipsruins:field_stone_ruins_rocks, HEADING, header:ignore, 0, 0, 0
188, terralith:zpointer/minecraft_old_growth_birch_forest, HEADING, header:ignore, 0, 0, 0
189, terralith:zpointer/terralith_lavender_forest, HEADING, header:ignore, 0, 0, 0
190, tconstruct:blood_island, HEADING, header:ignore, 0, 0, 0
191, tconstruct:blood_island, MONSTER, minecraft:magma_cube, 10, 4, 6
192, terralith:zpointer/minecraft_windswept_gravelly_hills, HEADING, header:ignore, 0, 0, 0
193, terralith:zpointer/terralith_blooming_plateau, HEADING, header:ignore, 0, 0, 0
194, explorify:watchtower_savanna, HEADING, header:ignore, 0, 0, 0
195, terralith:zpointer/minecraft_lukewarm_ocean, HEADING, header:ignore, 0, 0, 0
196, terralith:zpointer/terralith_fractured_savanna, HEADING, header:ignore, 0, 0, 0
197, terralith:zpointer/terralith_shield, HEADING, header:ignore, 0, 0, 0
198, philipsruins:pumpkin_ruins, HEADING, header:ignore, 0, 0, 0
199, philipsruins:pumpkin_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
200, philipsruins:pumpkin_ruins, MONSTER, minecraft:zombie, 12, 5, 12
201, terralith:zpointer/minecraft_taiga, HEADING, header:ignore, 0, 0, 0
202, terralith:zpointer/minecraft_old_growth_pine_taiga, HEADING, header:ignore, 0, 0, 0
203, philipsruins:ancient_ruins, HEADING, header:ignore, 0, 0, 0
204, philipsruins:ancient_ruins, MONSTER, minecraft:zombie, 12, 5, 12
205, terralith:zpointer/minecraft_meadow, HEADING, header:ignore, 0, 0, 0
206, terralith:zpointer/minecraft_warm_ocean, HEADING, header:ignore, 0, 0, 0
207, graveyard:giant_mushroom, HEADING, header:ignore, 0, 0, 0
208, terralith:zpointer/minecraft_forest, HEADING, header:ignore, 0, 0, 0
209, terralith:zpointer/minecraft_eroded_badlands, HEADING, header:ignore, 0, 0, 0
210, paraglider:tarrey_town_goddess_statue, HEADING, header:ignore, 0, 0, 0
211, terralith:zpointer/terralith_sakura_grove, HEADING, header:ignore, 0, 0, 0
212, terralith:zpointer/minecraft_stony_peaks, HEADING, header:ignore, 0, 0, 0
213, terralith:zpointer/terralith_snowy_shield, HEADING, header:ignore, 0, 0, 0
214, graveyard:medium_graveyard, HEADING, header:ignore, 0, 0, 0
215, graveyard:medium_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
216, graveyard:medium_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
217, graveyard:medium_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
218, incendium:infernal_altar, HEADING, header:ignore, 0, 0, 0
219, terralith:zpointer/minecraft_snowy_taiga, HEADING, header:ignore, 0, 0, 0
220, terralith:zpointer/terralith_yosemite_cliffs, HEADING, header:ignore, 0, 0, 0
221, philipsruins:lost_soul_dungeon, HEADING, header:ignore, 0, 0, 0
222, philipsruins:lost_soul_dungeon, MONSTER, minecraft:wither_skeleton, 10, 1, 5
223, incendium:abandoned_tower, HEADING, header:ignore, 0, 0, 0
224, terralith:zpointer/minecraft_cold_ocean, HEADING, header:ignore, 0, 0, 0
225, terralith:zpointer/terralith_skylands_spring, HEADING, header:ignore, 0, 0, 0
226, philipsruins:ancient_crypt, HEADING, header:ignore, 0, 0, 0
227, terralith:zpointer/minecraft_river, HEADING, header:ignore, 0, 0, 0
228, terralith:zpointer/terralith_ashen_savanna, HEADING, header:ignore, 0, 0, 0
229, terralith:zpointer/terralith_white_mesa, HEADING, header:ignore, 0, 0, 0
230, goety:crypt, HEADING, header:ignore, 0, 0, 0
231, goety:crypt, MONSTER, goety:haunted_armor, 20, 1, 1
232, goety:crypt, MONSTER, goety:crypt_slime, 10, 1, 1
233, goety:crypt, MONSTER, minecraft:zombie, 10, 1, 1
234, goety:crypt, MONSTER, minecraft:skeleton, 10, 1, 1
235, goety:crypt, MONSTER, goety:border_wraith, 10, 1, 1
236, goety:crypt, MONSTER, goety:bone_spider, 10, 1, 1
237, goety:crypt, MONSTER, goety:cairn_necromancer, 10, 1, 1
238, tconstruct:earth_slime_island, HEADING, header:ignore, 0, 0, 0
239, tconstruct:earth_slime_island, MONSTER, minecraft:slime, 10, 4, 4
240, paraglider:nether_horned_statue, HEADING, header:ignore, 0, 0, 0
241, terralith:zpointer/minecraft_lush_caves, HEADING, header:ignore, 0, 0, 0
242, terralith:zpointer/terralith_moonlight_valley, HEADING, header:ignore, 0, 0, 0
243, terralith:zpointer/terralith_volcanic_peaks, HEADING, header:ignore, 0, 0, 0
244, terralith:zpointer/minecraft_birch_forest, HEADING, header:ignore, 0, 0, 0
245, explorify:black_spiral, HEADING, header:ignore, 0, 0, 0
246, terralith:zpointer/minecraft_dark_forest, HEADING, header:ignore, 0, 0, 0
247, terralith:zpointer/terralith_sakura_valley, HEADING, header:ignore, 0, 0, 0
248, terralith:zpointer/terralith_brushland, HEADING, header:ignore, 0, 0, 0
249, terralith:zpointer/terralith_sandstone_valley, HEADING, header:ignore, 0, 0, 0
250, tlc:lost_castle, HEADING, header:ignore, 0, 0, 0
251, philipsruins:badlands_structures, HEADING, header:ignore, 0, 0, 0
252, takesapillage:bastille, HEADING, header:ignore, 0, 0, 0
253, terralith:zpointer/terralith_ice_marsh, HEADING, header:ignore, 0, 0, 0
254, incendium:sanctum, HEADING, header:ignore, 0, 0, 0
255, incendium:sanctum, MONSTER, minecraft:skeleton, 10, 1, 1
256, graveyard:small_desert_grave, HEADING, header:ignore, 0, 0, 0
257, philipsruins:ocean_fortress, HEADING, header:ignore, 0, 0, 0
258, philipsruins:ocean_fortress, MONSTER, minecraft:guardian, 10, 2, 3
259, philipsruins:ocean_fortress, MONSTER, minecraft:drowned, 10, 5, 9
260, terralith:zpointer/minecraft_deep_frozen_ocean, HEADING, header:ignore, 0, 0, 0
261, terralith:zpointer/terralith_alpine_highlands, HEADING, header:ignore, 0, 0, 0
262, graveyard:memorial_tree, HEADING, header:ignore, 0, 0, 0
263, philipsruins:ancient_towers, HEADING, header:ignore, 0, 0, 0
264, philipsruins:ancient_towers, MONSTER, minecraft:zombie, 12, 5, 20
265, terralith:zpointer/terralith_granite_cliffs, HEADING, header:ignore, 0, 0, 0
266, terralith:zpointer/terralith_hot_shrubland, HEADING, header:ignore, 0, 0, 0
267, philipsruins:start_nether_dungeon, HEADING, header:ignore, 0, 0, 0
268, terralith:zpointer/minecraft_frozen_river, HEADING, header:ignore, 0, 0, 0
269, terralith:zpointer/terralith_orchid_swamp, HEADING, header:ignore, 0, 0, 0
270, explorify:guide_post_warm, HEADING, header:ignore, 0, 0, 0
271, terralith:zpointer/terralith_shrubland, HEADING, header:ignore, 0, 0, 0
272, philipsruins:rare_ruin, HEADING, header:ignore, 0, 0, 0
273, philipsruins:badlands_start_dungeon, HEADING, header:ignore, 0, 0, 0
274, philipsruins:lost_soul_city, HEADING, header:ignore, 0, 0, 0
275, philipsruins:lost_soul_city, MONSTER, minecraft:wither_skeleton, 10, 1, 2
276, terralith:zpointer/minecraft_dripstone_caves, HEADING, header:ignore, 0, 0, 0
277, terralith:zpointer/minecraft_plains, HEADING, header:ignore, 0, 0, 0
278, terralith:zpointer/terralith_lavender_valley, HEADING, header:ignore, 0, 0, 0
279, terralith:zpointer/terralith_temperate_highlands, HEADING, header:ignore, 0, 0, 0
280, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
281, philipsruins:level_three_ruins, HEADING, header:ignore, 0, 0, 0
282, terralith:zpointer/minecraft_deep_cold_ocean, HEADING, header:ignore, 0, 0, 0
283, terralith:zpointer/terralith_cold_shrubland, HEADING, header:ignore, 0, 0, 0
284, goety:graveyard, HEADING, header:ignore, 0, 0, 0
285, goety:graveyard, MONSTER, goety:wraith, 80, 1, 1
286, goety:graveyard, MONSTER, minecraft:zombie, 80, 1, 1
287, goety:graveyard, MONSTER, minecraft:skeleton, 80, 1, 1
288, goety:graveyard, MONSTER, goety:border_wraith, 50, 1, 1
289, graveyard:altar, HEADING, header:ignore, 0, 0, 0
290, terralith:zpointer/minecraft_jagged_peaks, HEADING, header:ignore, 0, 0, 0
291, terralith:zpointer/terralith_savanna_slopes, HEADING, header:ignore, 0, 0, 0
292, terralith:zpointer/terralith_rocky_mountains, HEADING, header:ignore, 0, 0, 0
293, philipsruins:nether_lava_ruins, HEADING, header:ignore, 0, 0, 0
294, terralith:zpointer/terralith_siberian_taiga, HEADING, header:ignore, 0, 0, 0
295, explorify:badlands_pyramid, HEADING, header:ignore, 0, 0, 0
296, terralith:zpointer/minecraft_snowy_slopes, HEADING, header:ignore, 0, 0, 0
297, philipsruins:sealedruinedghaststatue1, HEADING, header:ignore, 0, 0, 0
298, supplementaries:way_sign, HEADING, header:ignore, 0, 0, 0
299, philipsruins:end_ruins, HEADING, header:ignore, 0, 0, 0
300, philipsruins:desert_structures, HEADING, header:ignore, 0, 0, 0
301, philipsruins:desert_structures, MONSTER, minecraft:husk, 15, 5, 15
302, terralith:zpointer/terralith_alpha_islands, HEADING, header:ignore, 0, 0, 0
303, terralith:zpointer/minecraft_windswept_savanna, HEADING, header:ignore, 0, 0, 0
304, terralith:zpointer/terralith_scarlet_mountains, HEADING, header:ignore, 0, 0, 0
305, philipsruins:antiquus_crypta, HEADING, header:ignore, 0, 0, 0
306, philipsruins:antiquus_crypta, MONSTER, minecraft:skeleton, 15, 5, 15
307, philipsruins:antiquus_crypta, MONSTER, minecraft:zombie, 15, 7, 15
308, terralith:zpointer/terralith_yosemite_lowlands, HEADING, header:ignore, 0, 0, 0
309, philipsruins:level_two_ruins, HEADING, header:ignore, 0, 0, 0
310, incendium:pipeline, HEADING, header:ignore, 0, 0, 0
311, eidolon:lab, HEADING, header:ignore, 0, 0, 0
312, terralith:zpointer/minecraft_ocean, HEADING, header:ignore, 0, 0, 0
313, goety:mangrove_tower, HEADING, header:ignore, 0, 0, 0
314, goety:mangrove_tower, MONSTER, goety:warlock, 10, 1, 1
315, terralith:zpointer/minecraft_beach, HEADING, header:ignore, 0, 0, 0
316, graveyard:crypt, HEADING, header:ignore, 0, 0, 0
317, graveyard:crypt, MONSTER, graveyard:acolyte, 25, 1, 1
318, graveyard:crypt, MONSTER, graveyard:corrupted_vindicator, 35, 1, 3
319, graveyard:crypt, MONSTER, graveyard:corrupted_pillager, 35, 1, 3
320, terralith:zpointer/minecraft_mushroom_fields, HEADING, header:ignore, 0, 0, 0
321, goety:wind_shrine, HEADING, header:ignore, 0, 0, 0
322, terralith:zpointer/terralith_alpha_islands_winter, HEADING, header:ignore, 0, 0, 0
323, terralith:zpointer/minecraft_deep_ocean, HEADING, header:ignore, 0, 0, 0
324, terralith:zpointer/minecraft_savanna_plateau, HEADING, header:ignore, 0, 0, 0
325, terralith:zpointer/terralith_alpine_grove, HEADING, header:ignore, 0, 0, 0
326, terralith:zpointer/terralith_white_cliffs, HEADING, header:ignore, 0, 0, 0
327, terralith:zpointer/terralith_skylands_summer, HEADING, header:ignore, 0, 0, 0
328, terralith:zpointer/minecraft_savanna, HEADING, header:ignore, 0, 0, 0
329, terralith:zpointer/terralith_volcanic_crater, HEADING, header:ignore, 0, 0, 0
330, terralith:zpointer/terralith_wintry_forest, HEADING, header:ignore, 0, 0, 0
331, terralith:zpointer/minecraft_wooded_badlands, HEADING, header:ignore, 0, 0, 0
332, takesapillage:pillager_camp, HEADING, header:ignore, 0, 0, 0
333, terralith:zpointer/terralith_blooming_valley, HEADING, header:ignore, 0, 0, 0
334, graveyard:small_mountain_grave, HEADING, header:ignore, 0, 0, 0
335, terralith:zpointer/terralith_gravel_beach, HEADING, header:ignore, 0, 0, 0
336, philipsruins:sculk_dungeon, HEADING, header:ignore, 0, 0, 0
