1, none, minecraft:the_void, MONSTER, decoration_delight:stool_entity,20,4,4
83, icy, minecraft:snowy_plains, MONSTER, savage_and_ravage:iceologer,10,1,1
84, icy, minecraft:snowy_plains, MONSTER, goety:wraith,20,1,1
85, icy, minecraft:snowy_plains, MONSTER, goety:warlock,10,1,1
86, icy, minecraft:snowy_plains, MONSTER, quark:stoneling,80,1,1
87, icy, minecraft:snowy_plains, MONSTER, quark:toretoise,80,2,4
88, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit,10,2,3
89, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear,10,1,2
90, icy, minecraft:snowy_plains, CREATURE, cnb:yeti,10,2,3
91, icy, minecraft:snowy_plains, CREATURE, ecologics:penguin,10,4,5
92, icy, minecraft:snowy_plains, CREATURE, eidolon:slimy_slug,10,2,3
93, icy, minecraft:snowy_plains, CREATURE, hamsters:hamster,10,1,1
94, icy, minecraft:snowy_plains, CREATURE, naturalist:snail,10,2,3
95, icy, minecraft:snowy_plains, CREATURE, naturalist:snake,10,1,1
96, icy, minecraft:snowy_plains, CREATURE, naturalist:bluejay,10,1,4
97, icy, minecraft:snowy_plains, CREATURE, naturalist:robin,10,1,4
98, icy, minecraft:snowy_plains, CREATURE, naturalist:butterfly,10,1,3
99, icy, minecraft:snowy_plains, CREATURE, environmental:reindeer,16,4,4
100, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat,10,8,8
101, icy, minecraft:snowy_plains, AMBIENT, caverns_and_chasms:glare,20,1,1
102, icy, minecraft:snowy_plains, AMBIENT, naturalist:firefly,10,2,3
103, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
104, none, minecraft:ice_spikes, MONSTER, minecraft:spider,80,4,4
105, none, minecraft:ice_spikes, MONSTER, minecraft:zombie,80,4,4
106, none, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager,10,1,1
107, none, minecraft:ice_spikes, MONSTER, minecraft:skeleton,20,4,4
108, none, minecraft:ice_spikes, MONSTER, minecraft:creeper,80,4,4
109, none, minecraft:ice_spikes, MONSTER, minecraft:slime,80,4,4
110, none, minecraft:ice_spikes, MONSTER, minecraft:enderman,5,1,4
111, none, minecraft:ice_spikes, MONSTER, minecraft:stray,80,4,4
112, none, minecraft:ice_spikes, MONSTER, eidolon:wraith,60,1,3
113, none, minecraft:ice_spikes, MONSTER, graveyard:nightmare,10,1,1
114, none, minecraft:ice_spikes, MONSTER, caverns_and_chasms:mime,80,1,1
115, none, minecraft:ice_spikes, MONSTER, graveyard:skeleton_creeper,25,1,4
116, none, minecraft:ice_spikes, MONSTER, eidolon:zombie_brute,60,1,3
117, none, minecraft:ice_spikes, MONSTER, savage_and_ravage:skeleton_villager,10,1,1
118, none, minecraft:ice_spikes, MONSTER, decoration_delight:stool_entity,20,4,4
119, none, minecraft:ice_spikes, MONSTER, tconstruct:sky_slime,80,2,4
120, none, minecraft:ice_spikes, MONSTER, savage_and_ravage:iceologer,10,1,1
121, none, minecraft:ice_spikes, MONSTER, goety:wraith,20,1,1
122, none, minecraft:ice_spikes, MONSTER, goety:warlock,10,1,1
123, none, minecraft:ice_spikes, MONSTER, quark:stoneling,80,1,1
124, none, minecraft:ice_spikes, MONSTER, quark:toretoise,80,2,4
125, none, minecraft:ice_spikes, CREATURE, minecraft:rabbit,10,2,3
126, none, minecraft:ice_spikes, CREATURE, minecraft:polar_bear,10,1,2
127, none, minecraft:ice_spikes, CREATURE, cnb:yeti,10,2,3
128, none, minecraft:ice_spikes, CREATURE, eidolon:slimy_slug,10,2,3
129, none, minecraft:ice_spikes, CREATURE, naturalist:bluejay,10,1,4
130, none, minecraft:ice_spikes, CREATURE, environmental:reindeer,16,4,4
131, none, minecraft:ice_spikes, AMBIENT, minecraft:bat,10,8,8
132, none, minecraft:ice_spikes, AMBIENT, caverns_and_chasms:glare,20,1,1
133, none, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
134, desert, minecraft:desert, MONSTER, minecraft:spider,80,4,4
135, desert, minecraft:desert, MONSTER, minecraft:zombie,19,4,4
136, desert, minecraft:desert, MONSTER, minecraft:zombie_villager,10,1,1
137, desert, minecraft:desert, MONSTER, minecraft:skeleton,80,4,4
138, desert, minecraft:desert, MONSTER, minecraft:creeper,80,4,4
139, desert, minecraft:desert, MONSTER, minecraft:slime,80,4,4
140, desert, minecraft:desert, MONSTER, minecraft:enderman,5,1,4
141, desert, minecraft:desert, MONSTER, minecraft:witch,5,1,1
142, desert, minecraft:desert, MONSTER, minecraft:husk,80,4,4
143, desert, minecraft:desert, MONSTER, eidolon:wraith,60,1,3
144, desert, minecraft:desert, MONSTER, graveyard:nightmare,10,1,1
145, desert, minecraft:desert, MONSTER, caverns_and_chasms:mime,80,1,1
146, desert, minecraft:desert, MONSTER, graveyard:skeleton_creeper,25,1,4
147, desert, minecraft:desert, MONSTER, eidolon:zombie_brute,60,1,3
148, desert, minecraft:desert, MONSTER, decoration_delight:stool_entity,20,4,4
149, desert, minecraft:desert, MONSTER, tconstruct:sky_slime,80,2,4
150, desert, minecraft:desert, MONSTER, savage_and_ravage:skeleton_villager,10,1,1
151, desert, minecraft:desert, MONSTER, goety:wraith,20,1,1
152, desert, minecraft:desert, MONSTER, goety:warlock,10,1,1
153, desert, minecraft:desert, MONSTER, quark:stoneling,80,1,1
154, desert, minecraft:desert, MONSTER, quark:toretoise,80,2,4
155, desert, minecraft:desert, CREATURE, minecraft:rabbit,10,2,3
156, desert, minecraft:desert, CREATURE, cnb:cactem,10,6,13
157, desert, minecraft:desert, CREATURE, ecologics:camel,10,1,1
158, desert, minecraft:desert, CREATURE, cnb:lizard,15,1,4
159, desert, minecraft:desert, CREATURE, naturalist:rattlesnake,10,1,1
160, desert, minecraft:desert, CREATURE, naturalist:cardinal,10,1,4
161, desert, minecraft:desert, CREATURE, naturalist:vulture,15,2,4
162, desert, minecraft:desert, CREATURE, naturalist:lizard,15,1,2
163, desert, minecraft:desert, CREATURE, naturalist:tortoise,15,1,2
164, desert, minecraft:desert, AMBIENT, minecraft:bat,10,8,8
165, desert, minecraft:desert, AMBIENT, caverns_and_chasms:glare,20,1,1
166, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
167, swamp, minecraft:swamp, MONSTER, minecraft:spider,80,4,4
168, swamp, minecraft:swamp, MONSTER, minecraft:zombie,80,4,4
169, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager,10,1,1
170, swamp, minecraft:swamp, MONSTER, minecraft:skeleton,80,4,4
171, swamp, minecraft:swamp, MONSTER, minecraft:creeper,80,4,4
172, swamp, minecraft:swamp, MONSTER, minecraft:slime,80,4,4
173, swamp, minecraft:swamp, MONSTER, minecraft:enderman,5,1,4
174, swamp, minecraft:swamp, MONSTER, minecraft:witch,5,1,1
175, swamp, minecraft:swamp, MONSTER, minecraft:slime,10,1,1
176, swamp, minecraft:swamp, MONSTER, eidolon:wraith,60,1,3
177, swamp, minecraft:swamp, MONSTER, graveyard:nightmare,10,1,1
178, swamp, minecraft:swamp, MONSTER, caverns_and_chasms:mime,80,1,1
179, swamp, minecraft:swamp, MONSTER, graveyard:skeleton_creeper,25,1,4
180, swamp, minecraft:swamp, MONSTER, eidolon:zombie_brute,60,1,3
181, swamp, minecraft:swamp, MONSTER, decoration_delight:stool_entity,20,4,4
182, swamp, minecraft:swamp, MONSTER, tconstruct:sky_slime,80,2,4
183, swamp, minecraft:swamp, MONSTER, savage_and_ravage:skeleton_villager,10,1,1
184, swamp, minecraft:swamp, MONSTER, goety:wraith,20,1,1
185, swamp, minecraft:swamp, MONSTER, goety:warlock,10,1,1
186, swamp, minecraft:swamp, MONSTER, quark:stoneling,80,1,1
187, swamp, minecraft:swamp, MONSTER, quark:toretoise,80,2,4
188, swamp, minecraft:swamp, CREATURE, minecraft:frog,10,2,5
189, swamp, minecraft:swamp, CREATURE, cnb:sporeling,25,3,5
190, swamp, minecraft:swamp, CREATURE, environmental:duck,10,4,4
191, swamp, minecraft:swamp, CREATURE, cnb:minipad,20,3,6
192, swamp, minecraft:swamp, CREATURE, environmental:slabfish,16,2,4
193, swamp, minecraft:swamp, CREATURE, eidolon:slimy_slug,10,2,5
194, swamp, minecraft:swamp, CREATURE, naturalist:snail,10,2,3
195, swamp, minecraft:swamp, CREATURE, naturalist:snake,10,1,1
196, swamp, minecraft:swamp, CREATURE, naturalist:cardinal,10,1,4
197, swamp, minecraft:swamp, CREATURE, naturalist:butterfly,10,1,3
198, swamp, minecraft:swamp, CREATURE, naturalist:alligator,15,1,2
199, swamp, minecraft:swamp, CREATURE, naturalist:lizard,15,1,2
200, swamp, minecraft:swamp, CREATURE, naturalist:tortoise,15,1,2
201, swamp, minecraft:swamp, CREATURE, naturalist:duck,15,2,4
202, swamp, minecraft:swamp, CREATURE, cnb:lilytad,45,1,1
203, swamp, minecraft:swamp, CREATURE, ghosts:small_ghost,14,1,3
204, swamp, minecraft:swamp, AMBIENT, minecraft:bat,10,8,8
205, swamp, minecraft:swamp, AMBIENT, caverns_and_chasms:glare,20,1,1
206, swamp, minecraft:swamp, AMBIENT, naturalist:firefly,10,2,3
207, swamp, minecraft:swamp, AMBIENT, naturalist:dragonfly,10,2,3
208, swamp, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
209, swamp, minecraft:swamp, WATER_AMBIENT, naturalist:catfish,10,1,1
210, swamp, minecraft:swamp, WATER_AMBIENT, naturalist:bass,10,2,4
211, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:spider,80,4,4
212, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:zombie,80,4,4
213, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:zombie_villager,10,1,1
214, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:skeleton,80,4,4
215, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:creeper,80,4,4
216, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:slime,80,4,4
217, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:enderman,5,1,4
218, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:witch,5,1,1
219, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:slime,10,1,1
220, swamp, minecraft:mangrove_swamp, MONSTER, eidolon:wraith,60,1,3
221, swamp, minecraft:mangrove_swamp, MONSTER, graveyard:nightmare,10,1,1
222, swamp, minecraft:mangrove_swamp, MONSTER, caverns_and_chasms:mime,80,1,1
223, swamp, minecraft:mangrove_swamp, MONSTER, graveyard:skeleton_creeper,25,1,4
224, swamp, minecraft:mangrove_swamp, MONSTER, eidolon:zombie_brute,60,1,3
225, swamp, minecraft:mangrove_swamp, MONSTER, decoration_delight:stool_entity,20,4,4
226, swamp, minecraft:mangrove_swamp, MONSTER, tconstruct:sky_slime,80,2,4
227, swamp, minecraft:mangrove_swamp, MONSTER, savage_and_ravage:skeleton_villager,10,1,1
228, swamp, minecraft:mangrove_swamp, MONSTER, goety:wraith,20,1,1
229, swamp, minecraft:mangrove_swamp, MONSTER, goety:warlock,10,1,1
230, swamp, minecraft:mangrove_swamp, MONSTER, quark:stoneling,80,1,1
231, swamp, minecraft:mangrove_swamp, MONSTER, quark:toretoise,80,2,4
232, swamp, minecraft:mangrove_swamp, CREATURE, minecraft:frog,10,2,5
233, swamp, minecraft:mangrove_swamp, CREATURE, environmental:duck,10,4,4
234, swamp, minecraft:mangrove_swamp, CREATURE, environmental:slabfish,16,2,4
235, swamp, minecraft:mangrove_swamp, CREATURE, eidolon:slimy_slug,10,2,5
236, swamp, minecraft:mangrove_swamp, CREATURE, naturalist:snail,10,2,3
237, swamp, minecraft:mangrove_swamp, CREATURE, naturalist:snake,10,1,1
238, swamp, minecraft:mangrove_swamp, CREATURE, naturalist:cardinal,10,1,4
239, swamp, minecraft:mangrove_swamp, CREATURE, naturalist:butterfly,10,1,3
240, swamp, minecraft:mangrove_swamp, CREATURE, naturalist:alligator,15,1,2
241, swamp, minecraft:mangrove_swamp, CREATURE, naturalist:lizard,15,1,2
242, swamp, minecraft:mangrove_swamp, CREATURE, naturalist:tortoise,15,1,2
243, swamp, minecraft:mangrove_swamp, CREATURE, naturalist:duck,15,2,4
244, swamp, minecraft:mangrove_swamp, CREATURE, ghosts:small_ghost,14,1,3
245, swamp, minecraft:mangrove_swamp, AMBIENT, minecraft:bat,10,8,8
246, swamp, minecraft:mangrove_swamp, AMBIENT, caverns_and_chasms:glare,20,1,1
247, swamp, minecraft:mangrove_swamp, AMBIENT, naturalist:firefly,10,2,3
248, swamp, minecraft:mangrove_swamp, AMBIENT, naturalist:dragonfly,10,2,3
249, swamp, minecraft:mangrove_swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
250, swamp, minecraft:mangrove_swamp, WATER_AMBIENT, minecraft:tropical_fish,25,8,8
251, swamp, minecraft:mangrove_swamp, WATER_AMBIENT, crabbersdelight:crab,70,3,6
252, swamp, minecraft:mangrove_swamp, WATER_AMBIENT, naturalist:catfish,10,1,1
253, swamp, minecraft:mangrove_swamp, WATER_AMBIENT, naturalist:bass,10,2,4
254, forest, minecraft:forest, MONSTER, minecraft:spider,80,4,4
255, forest, minecraft:forest, MONSTER, minecraft:zombie,80,4,4
256, forest, minecraft:forest, MONSTER, minecraft:zombie_villager,10,1,1
257, forest, minecraft:forest, MONSTER, minecraft:skeleton,80,4,4
258, forest, minecraft:forest, MONSTER, minecraft:creeper,80,4,4
259, forest, minecraft:forest, MONSTER, minecraft:slime,80,4,4
260, forest, minecraft:forest, MONSTER, minecraft:enderman,5,1,4
261, forest, minecraft:forest, MONSTER, minecraft:witch,5,1,1
262, forest, minecraft:forest, MONSTER, eidolon:wraith,60,1,3
263, forest, minecraft:forest, MONSTER, caverns_and_chasms:mime,80,1,1
264, forest, minecraft:forest, MONSTER, eidolon:zombie_brute,60,1,3
265, forest, minecraft:forest, MONSTER, decoration_delight:stool_entity,20,4,4
266, forest, minecraft:forest, MONSTER, tconstruct:sky_slime,80,2,4
267, forest, minecraft:forest, MONSTER, savage_and_ravage:skeleton_villager,10,1,1
268, forest, minecraft:forest, MONSTER, goety:wraith,20,1,1
269, forest, minecraft:forest, MONSTER, goety:warlock,10,1,1
270, forest, minecraft:forest, MONSTER, quark:stoneling,80,1,1
271, forest, minecraft:forest, MONSTER, quark:toretoise,80,2,4
272, forest, minecraft:forest, CREATURE, minecraft:pig,10,8,8
273, forest, minecraft:forest, CREATURE, minecraft:chicken,10,8,8
274, forest, minecraft:forest, CREATURE, minecraft:wolf,10,4,4
275, forest, minecraft:forest, CREATURE, eidolon:raven,10,2,4
276, forest, minecraft:forest, CREATURE, eidolon:slimy_slug,10,2,5
277, forest, minecraft:forest, CREATURE, naturalist:snail,10,2,3
278, forest, minecraft:forest, CREATURE, naturalist:snake,10,1,1
279, forest, minecraft:forest, CREATURE, naturalist:bear,10,1,2
280, forest, minecraft:forest, CREATURE, naturalist:deer,10,1,3
281, forest, minecraft:forest, CREATURE, naturalist:cardinal,10,1,4
282, forest, minecraft:forest, CREATURE, naturalist:robin,10,1,4
283, forest, minecraft:forest, CREATURE, naturalist:butterfly,10,1,3
284, forest, minecraft:forest, CREATURE, minecraft:fox,10,2,4
285, forest, minecraft:forest, CREATURE, minecraft:rabbit,10,2,3
286, forest, minecraft:forest, CREATURE, naturalist:lizard,15,1,2
287, forest, minecraft:forest, CREATURE, ghosts:ghost,14,1,2
288, forest, minecraft:forest, CREATURE, environmental:deer,16,4,4
289, forest, minecraft:forest, CREATURE, ghosts:small_ghost,14,1,3
290, forest, minecraft:forest, AMBIENT, minecraft:bat,10,8,8
291, forest, minecraft:forest, AMBIENT, caverns_and_chasms:glare,20,1,1
292, forest, minecraft:forest, AMBIENT, naturalist:firefly,10,2,3
293, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
294, forest, minecraft:flower_forest, MONSTER, minecraft:spider,80,4,4
295, forest, minecraft:flower_forest, MONSTER, minecraft:zombie,80,4,4
296, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager,10,1,1
297, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton,80,4,4
298, forest, minecraft:flower_forest, MONSTER, minecraft:creeper,80,4,4
299, forest, minecraft:flower_forest, MONSTER, minecraft:slime,80,4,4
300, forest, minecraft:flower_forest, MONSTER, minecraft:enderman,5,1,4
301, forest, minecraft:flower_forest, MONSTER, minecraft:witch,5,1,1
302, forest, minecraft:flower_forest, MONSTER, eidolon:wraith,60,1,3
303, forest, minecraft:flower_forest, MONSTER, caverns_and_chasms:mime,80,1,1
304, forest, minecraft:flower_forest, MONSTER, eidolon:zombie_brute,60,1,3
305, forest, minecraft:flower_forest, MONSTER, decoration_delight:stool_entity,20,4,4
306, forest, minecraft:flower_forest, MONSTER, tconstruct:sky_slime,80,2,4
307, forest, minecraft:flower_forest, MONSTER, savage_and_ravage:skeleton_villager,10,1,1
308, forest, minecraft:flower_forest, MONSTER, goety:wraith,20,1,1
309, forest, minecraft:flower_forest, MONSTER, goety:warlock,10,1,1
310, forest, minecraft:flower_forest, MONSTER, quark:stoneling,80,1,1
311, forest, minecraft:flower_forest, MONSTER, quark:toretoise,80,2,4
312, forest, minecraft:flower_forest, CREATURE, minecraft:pig,10,8,8
313, forest, minecraft:flower_forest, CREATURE, minecraft:chicken,10,8,8
314, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit,10,2,3
315, forest, minecraft:flower_forest, CREATURE, eidolon:raven,10,2,4
316, forest, minecraft:flower_forest, CREATURE, eidolon:slimy_slug,10,2,5
317, forest, minecraft:flower_forest, CREATURE, naturalist:snail,10,2,3
318, forest, minecraft:flower_forest, CREATURE, naturalist:snake,10,1,1
319, forest, minecraft:flower_forest, CREATURE, naturalist:bear,10,1,2
320, forest, minecraft:flower_forest, CREATURE, naturalist:deer,10,1,3
321, forest, minecraft:flower_forest, CREATURE, naturalist:cardinal,10,1,4
322, forest, minecraft:flower_forest, CREATURE, naturalist:robin,10,1,4
323, forest, minecraft:flower_forest, CREATURE, naturalist:butterfly,10,1,3
324, forest, minecraft:flower_forest, CREATURE, minecraft:fox,10,2,4
325, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit,10,2,3
326, forest, minecraft:flower_forest, CREATURE, naturalist:lizard,15,1,2
327, forest, minecraft:flower_forest, CREATURE, ghosts:ghost,14,1,2
328, forest, minecraft:flower_forest, CREATURE, environmental:deer,16,4,4
329, forest, minecraft:flower_forest, CREATURE, ghosts:small_ghost,14,1,3
330, forest, minecraft:flower_forest, AMBIENT, minecraft:bat,10,8,8
331, forest, minecraft:flower_forest, AMBIENT, caverns_and_chasms:glare,20,1,1
332, forest, minecraft:flower_forest, AMBIENT, naturalist:firefly,10,2,3
333, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
334, forest, minecraft:birch_forest, MONSTER, minecraft:spider,80,4,4
335, forest, minecraft:birch_forest, MONSTER, minecraft:zombie,80,4,4
336, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager,10,1,1
337, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton,80,4,4
338, forest, minecraft:birch_forest, MONSTER, minecraft:creeper,80,4,4
339, forest, minecraft:birch_forest, MONSTER, minecraft:slime,80,4,4
340, forest, minecraft:birch_forest, MONSTER, minecraft:enderman,5,1,4
341, forest, minecraft:birch_forest, MONSTER, minecraft:witch,5,1,1
342, forest, minecraft:birch_forest, MONSTER, eidolon:wraith,60,1,3
343, forest, minecraft:birch_forest, MONSTER, caverns_and_chasms:mime,80,1,1
344, forest, minecraft:birch_forest, MONSTER, eidolon:zombie_brute,60,1,3
345, forest, minecraft:birch_forest, MONSTER, decoration_delight:stool_entity,20,4,4
346, forest, minecraft:birch_forest, MONSTER, tconstruct:sky_slime,80,2,4
347, forest, minecraft:birch_forest, MONSTER, savage_and_ravage:skeleton_villager,10,1,1
348, forest, minecraft:birch_forest, MONSTER, goety:wraith,20,1,1
349, forest, minecraft:birch_forest, MONSTER, goety:warlock,10,1,1
350, forest, minecraft:birch_forest, MONSTER, quark:stoneling,80,1,1
351, forest, minecraft:birch_forest, MONSTER, quark:toretoise,80,2,4
352, forest, minecraft:birch_forest, CREATURE, minecraft:pig,10,4,4
353, forest, minecraft:birch_forest, CREATURE, minecraft:chicken,10,4,4
354, forest, minecraft:birch_forest, CREATURE, eidolon:raven,10,2,4
355, forest, minecraft:birch_forest, CREATURE, eidolon:slimy_slug,10,2,5
356, forest, minecraft:birch_forest, CREATURE, naturalist:snail,10,2,3
357, forest, minecraft:birch_forest, CREATURE, naturalist:snake,10,1,1
358, forest, minecraft:birch_forest, CREATURE, naturalist:bear,10,1,2
359, forest, minecraft:birch_forest, CREATURE, naturalist:deer,10,1,3
360, forest, minecraft:birch_forest, CREATURE, naturalist:cardinal,10,1,4
361, forest, minecraft:birch_forest, CREATURE, naturalist:robin,10,1,4
362, forest, minecraft:birch_forest, CREATURE, naturalist:butterfly,10,1,3
363, forest, minecraft:birch_forest, CREATURE, minecraft:fox,10,2,4
364, forest, minecraft:birch_forest, CREATURE, minecraft:rabbit,10,2,3
365, forest, minecraft:birch_forest, CREATURE, naturalist:lizard,15,1,2
366, forest, minecraft:birch_forest, CREATURE, ghosts:ghost,14,1,2
367, forest, minecraft:birch_forest, CREATURE, environmental:deer,16,4,4
368, forest, minecraft:birch_forest, CREATURE, ghosts:small_ghost,14,1,3
